2025-04-07 22:01:08,823 INFO    MainThread:21592 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_setup.py:_flush():67] Configure stats pid to 21592
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_setup.py:_flush():67] Loading settings from C:\Users\user\.config\wandb\settings
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_setup.py:_flush():67] Loading settings from C:\Users\user\Multi-GNN\wandb\settings
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\user\Multi-GNN\wandb\run-20250407_220108-qblbpdh8\logs\debug.log
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\user\Multi-GNN\wandb\run-20250407_220108-qblbpdh8\logs\debug-internal.log
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_init.py:init():761] calling init triggers
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'epochs': 100, 'batch_size': 73728, 'model': 'pna', 'data': 'Small_HI', 'num_neighbors': [100, 100], 'lr': 0.0006116418195373612, 'n_hidden': 20, 'n_gnn_layers': 2, 'loss': 'ce', 'w_ce1': 1.0003967674742307, 'w_ce2': 7.077633468006714, 'dropout': 0.08340440094051481, 'final_dropout': 0.28812979737686323, 'n_heads': None, 'emlps': False, 'reverse_mp': False, 'ports': False, 'tds': False, 'ego': False, 'seed': 1, '_wandb': {}}
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_init.py:init():784] starting backend
2025-04-07 22:01:08,824 INFO    MainThread:21592 [wandb_init.py:init():788] sending inform_init request
2025-04-07 22:01:08,834 INFO    MainThread:21592 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-07 22:01:08,835 INFO    MainThread:21592 [wandb_init.py:init():798] backend started and connected
2025-04-07 22:01:08,836 INFO    MainThread:21592 [wandb_init.py:init():891] updated telemetry
2025-04-07 22:01:09,010 INFO    MainThread:21592 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-07 22:01:09,235 INFO    MainThread:21592 [wandb_init.py:init():990] starting run threads in backend
2025-04-07 22:01:09,334 INFO    MainThread:21592 [wandb_run.py:_console_start():2375] atexit reg
2025-04-07 22:01:09,334 INFO    MainThread:21592 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-07 22:01:09,334 INFO    MainThread:21592 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-07 22:01:09,334 INFO    MainThread:21592 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-07 22:01:09,336 INFO    MainThread:21592 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-08 00:45:26,930 INFO    MainThread:21592 [wandb_run.py:_finish():2112] finishing run dg5542118-university-of-strathclyde/aml_gnn_project/qblbpdh8
2025-04-08 00:45:26,930 INFO    MainThread:21592 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-04-08 00:45:26,930 INFO    MainThread:21592 [wandb_run.py:_restore():2322] restore
2025-04-08 00:45:26,930 INFO    MainThread:21592 [wandb_run.py:_restore():2328] restore done
2025-04-08 00:45:27,859 INFO    MainThread:21592 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-04-08 00:45:27,859 INFO    MainThread:21592 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-04-08 00:45:27,859 INFO    MainThread:21592 [wandb_run.py:_footer_sync_info():3917] logging synced files
