2025-04-08 11:07:32,635 INFO    MainThread:30840 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_setup.py:_flush():67] Configure stats pid to 30840
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_setup.py:_flush():67] Loading settings from C:\Users\user\.config\wandb\settings
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_setup.py:_flush():67] Loading settings from C:\Users\user\Multi-GNN\wandb\settings
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\user\Multi-GNN\wandb\run-20250408_110732-bu2obn4j\logs\debug.log
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\user\Multi-GNN\wandb\run-20250408_110732-bu2obn4j\logs\debug-internal.log
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_init.py:init():761] calling init triggers
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'epochs': 100, 'batch_size': 73728, 'model': 'gat', 'data': 'Small_HI', 'num_neighbors': [100, 100], 'lr': 0.006, 'n_hidden': 64, 'n_gnn_layers': 2, 'loss': 'ce', 'w_ce1': 1, 'w_ce2': 6, 'dropout': 0.009, 'final_dropout': 0.1, 'n_heads': 4, 'emlps': False, 'reverse_mp': False, 'ports': False, 'tds': False, 'ego': False, 'seed': 1, '_wandb': {}}
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_init.py:init():784] starting backend
2025-04-08 11:07:32,636 INFO    MainThread:30840 [wandb_init.py:init():788] sending inform_init request
2025-04-08 11:07:32,647 INFO    MainThread:30840 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-08 11:07:32,647 INFO    MainThread:30840 [wandb_init.py:init():798] backend started and connected
2025-04-08 11:07:32,649 INFO    MainThread:30840 [wandb_init.py:init():891] updated telemetry
2025-04-08 11:07:32,690 INFO    MainThread:30840 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-08 11:07:33,025 INFO    MainThread:30840 [wandb_init.py:init():990] starting run threads in backend
2025-04-08 11:07:33,118 INFO    MainThread:30840 [wandb_run.py:_console_start():2375] atexit reg
2025-04-08 11:07:33,118 INFO    MainThread:30840 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-08 11:07:33,118 INFO    MainThread:30840 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-08 11:07:33,118 INFO    MainThread:30840 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-08 11:07:33,119 INFO    MainThread:30840 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-08 12:36:40,279 INFO    MainThread:30840 [wandb_run.py:_finish():2112] finishing run dg5542118-university-of-strathclyde/aml_gnn_project/bu2obn4j
2025-04-08 12:36:40,280 INFO    MainThread:30840 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-04-08 12:36:40,280 INFO    MainThread:30840 [wandb_run.py:_restore():2322] restore
2025-04-08 12:36:40,280 INFO    MainThread:30840 [wandb_run.py:_restore():2328] restore done
2025-04-08 12:36:41,248 INFO    MainThread:30840 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-04-08 12:36:41,248 INFO    MainThread:30840 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-04-08 12:36:41,249 INFO    MainThread:30840 [wandb_run.py:_footer_sync_info():3917] logging synced files
